cle_unique;emplacement_source;datetime_ingestion;privacy_level;nom_entreprise;nro_avis;site_web;taille;date_fondation;secteur;revenu;type_entreprise
223276605364947852473884863227597909973;13574-INFO-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:15;0;Groupe Adéquat; 49;www.groupeadequat.com;De 501 à 1 000 employés; 1987; Recrutement et sous-traitance; Entre 500 millions et 1 milliard € (EUR) par an; Entreprise non cotée en bourse
266717037533272097978303464266023994199;13716-INFO-SOC-GLASSDOOR-E466295_P1.html;2021-03-28 15:57:15;0;Sopra Steria; 2,6k;www.soprasteria.com;Plus de 10 000 employés; 1968; Services informatiques; Entre 2 et 5 milliards € (EUR) par an; Entreprise cotée en bourse (SOP:EN Paris) 
9664887199753849116234000866360656237;13552-INFO-SOC-GLASSDOOR-E2131167_P1.html;2021-03-28 15:57:15;0;Atos Consulting; 24;www.ctp.com;De 1 001 à 5 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
91799169915183078570967519927273913;13630-INFO-SOC-GLASSDOOR-E456207_P1.html;2021-03-28 15:57:15;0;Eidos Montreal; 54;www.eidosmontreal.com;Entre 201 et 500 employés; Inconnu; Jeux vidéo; Entre 25 et 50 millions € (EUR) par an; Entreprise cotée en bourse
339925952395625899080474101874251537082;13678-INFO-SOC-GLASSDOOR-E379472_P1.html;2021-03-28 15:57:15;0;Logware; 33;www.logware.fr;Entre 201 et 500 employés; 1997; Conseils; Moins d&#039,1 million € (EUR) par an; Entreprise non cotée en bourse
73360939600501892757507879790716205270;13779-INFO-SOC-GLASSDOOR-E33451_P1.html;2021-03-28 15:57:16;0;GFI Software; 57;www.gfi.com;De 51 à 200 employés; 1992; Matériel et logiciels informatiques; Ne sait pas / non applicable; Entreprise non cotée en bourse
264724169341764573318773329752770941322;13577-INFO-SOC-GLASSDOOR-E235143_P1.html;2021-03-28 15:57:16;0;UK Ministry of Defence; 386;www.mod.uk;Plus de 10 000 employés; 1964; Organismes fédéraux; Entre 2 et 5 milliards € (EUR) par an; Gouvernement
282542619768466454530101784508791038480;13668-INFO-SOC-GLASSDOOR-E1127933_P1.html;2021-03-28 15:57:16;0;cerema; 13;www.cerema.fr;De 1 001 à 5 000 employés; 2014; Inconnu; Ne sait pas / non applicable par an; Inconnu
315802634593910114714675872029391836369;13563-INFO-SOC-GLASSDOOR-E13082_P1.html;2021-03-28 15:57:16;0;CEGID; 106;www.cegid.com;De 1 001 à 5 000 employés; 1983; Solutions logicielles et réseau d'entreprise; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
230315033290404472791926656013585317212;13771-INFO-SOC-GLASSDOOR-E1125581_P1.html;2021-03-28 15:57:16;0;Adthink-Media; 8;www.adthink-media.com;De 51 à 200 employés; 2001; Inconnu; Entre 1 et 5 millions € (EUR) par an; Inconnu
105832946048077831898052192201377242992;13712-INFO-SOC-GLASSDOOR-E3041003_P1.html;2021-03-28 15:57:16;0;Crédit Agricole d'Aquitaine; 2;www.credit-agricole.fr;De 1 001 à 5 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
168053484594906169622148480003189726824;13727-INFO-SOC-GLASSDOOR-E1261010_P1.html;2021-03-28 15:57:16;0;Mixt Composites Recyclables; 1;www.m-c-r.com;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
15377448016159593124492169318800258183;13758-INFO-SOC-GLASSDOOR-E5694_P1.html;2021-03-28 15:57:16;0;OpenText; 1,7k;www.opentext.com;Plus de 10 000 employés; 1992; Solutions logicielles et réseau d'entreprise; Entre 2 et 5 milliards € (EUR) par an; Entreprise cotée en bourse (OTEX) 
301981503568045773344330806614562928046;13790-INFO-SOC-GLASSDOOR-E9028_P1.html;2021-03-28 15:57:17;0;Gfi Informatique; 463;www.gfi.world;Plus de 10 000 employés; 1995; Services informatiques; Entre 1 et 2 milliards € (EUR) par an; Entreprise cotée en bourse
44075429800496641734997957566944973759;13762-INFO-SOC-GLASSDOOR-E253138_P1.html;2021-03-28 15:57:17;0;Artefact Group; 22;www.artefactgroup.com;De 51 à 200 employés; 2006; Conseils; Entre 10 et 25 millions € (EUR) par an; Entreprise non cotée en bourse
61371836754999420315228567243722883551;13546-INFO-SOC-GLASSDOOR-E12966_P1.html;2021-03-28 15:57:17;0;Devoteam; 512;https://fr.devoteamcareers.com/fr/;De 1 001 à 5 000 employés; 1995; Services informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse
281367695763561718384684113651981190434;13792-INFO-SOC-GLASSDOOR-E33451_P1.html;2021-03-28 15:57:17;0;GFI Software; 57;www.gfi.com;De 51 à 200 employés; 1992; Matériel et logiciels informatiques; Ne sait pas / non applicable; Entreprise non cotée en bourse
168327386767840512635096041347526175685;13604-INFO-SOC-GLASSDOOR-E37990_P1.html;2021-03-28 15:57:17;0;Volvo Cars; 138;www.volvocars.com;Plus de 10 000 employés; 1927; Fabrication industrielle; Ne sait pas / non applicable; Entreprise non cotée en bourse
338048625528187495538299652841605924893;13612-INFO-SOC-GLASSDOOR-E845851_P1.html;2021-03-28 15:57:17;0;Feu Vert; 17;www.feuvert.fr;De 1 001 à 5 000 employés; 1972; Magasins de pièces automobiles et accessoires; Moins d&#039,1 million € (EUR) par an; Entreprise non cotée en bourse
294064009017832141395073172860067259900;13647-INFO-SOC-GLASSDOOR-E241449_P1.html;2021-03-28 15:57:17;0;Statkraft AS; 50;www.statkraft.com;Entre 201 et 500 employés; Inconnu; Services publics de distribution; Plus de 10 milliards € (EUR) par an; Entreprise non cotée en bourse
286949593785425446138996104022566488810;13692-INFO-SOC-GLASSDOOR-E929611_P1.html;2021-03-28 15:57:18;0;Teads; 102;www.teads.com;De 501 à 1 000 employés; 2011; Publicité et marketing; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
293648421222820942265557830704364376153;13585-INFO-SOC-GLASSDOOR-E13058_P1.html;2021-03-28 15:57:18;0;Cegedim; 234;www.cegedim.com;De 1 001 à 5 000 employés; 1969; Matériel et logiciels informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse (CGM) 
33665603067076574573021801732741549234;13796-INFO-SOC-GLASSDOOR-E3054_P1.html;2021-03-28 15:57:18;0;Accor; 1,3k;www.group.accor.com;Plus de 10 000 employés; 1967; Hôtels, motels et stations de tourisme; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (ACCOR SA) 
61910588831110747999810467184954342932;13622-INFO-SOC-GLASSDOOR-E847875_P1.html;2021-03-28 15:57:18;0;Morgan Philips Executive Search; 34;www.morganphilipsexecutivesearch.com;Entre 201 et 500 employés; 2013; Recrutement et sous-traitance; Ne sait pas / non applicable; Filiale ou unité d'exploitation
159851870180655456942581827954869851543;13596-INFO-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:18;0;Lacoste; 451;www.lacoste.com;De 5 001 à 10 000 employés; 1933; Magasins de chaussures, de vêtements et grands magasins; Entre 1 et 2 milliards € (EUR) par an; Entreprise non cotée en bourse
305503835863944049192714286617829084767;13677-INFO-SOC-GLASSDOOR-E1063459_P1.html;2021-03-28 15:57:18;0;CALIDA Group; 2;www.calidagroup.com;Inconnu; 1941; Inconnu; Ne sait pas / non applicable par an; Inconnu
276735774815338963037716084620646499880;13699-INFO-SOC-GLASSDOOR-E3489_P1.html;2021-03-28 15:57:18;0;LVMH; 556;www.lvmh.fr;Plus de 10 000 employés; 1987; Autres magasins de détail; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (MC) 
339471195022831619433228129714749847579;13724-INFO-SOC-GLASSDOOR-E1126011_P1.html;2021-03-28 15:57:19;0;alptis assurances; 2;www.alptis.org;Entre 201 et 500 employés; 1976; Inconnu; Entre 100 et 500 millions € (EUR) par an; Inconnu
149349830350767942421650405790279557296;13778-INFO-SOC-GLASSDOOR-E9028_P1.html;2021-03-28 15:57:19;0;Gfi Informatique; 463;www.gfi.world;Plus de 10 000 employés; 1995; Services informatiques; Entre 1 et 2 milliards € (EUR) par an; Entreprise cotée en bourse
56448087308960563773044890867900146784;13713-INFO-SOC-GLASSDOOR-E3142186_P1.html;2021-03-28 15:57:19;0;Crédit Agricole; 1;www.credit-agricole.fr;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
1932300669911060458269530362655792808;13639-INFO-SOC-GLASSDOOR-E7448_P1.html;2021-03-28 15:57:19;0;Altran Group; 2,1k;www.altran.com;Plus de 10 000 employés; 1991; Services informatiques; Entre 2 et 5 milliards € (EUR) par an; Entreprise cotée en bourse (ALT) 
127437786615420130306657088799912780956;13634-INFO-SOC-GLASSDOOR-E7633_P1.html;2021-03-28 15:57:19;0;NVIDIA; 2,4k;www.nvidia.com;Plus de 10 000 employés; 1993; Matériel et logiciels informatiques; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (NVDA) 
14015715601493256726518110249187850155;13807-INFO-SOC-GLASSDOOR-E1260894_P1.html;2021-03-28 15:57:19;0;Groupe NICOLLIN - Groupe VEOLIA; 1;www.groupenicollin.com;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
339678555187618067245979693282893524675;13708-INFO-SOC-GLASSDOOR-E4252_P1.html;2021-03-28 15:57:19;0;Groupe Crédit Agricole; 1,1k;www.credit-agricole.com;De 5 001 à 10 000 employés; 1885; Investissements bancaires et gestion d'actifs; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (CRARF) 
9675392497292630411082883534423514016;13728-INFO-SOC-GLASSDOOR-E200717_P1.html;2021-03-28 15:57:19;0;Astek; 228;www.groupeastek.com;De 1 001 à 5 000 employés; 1988; Services informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
103299192486068414561873114149298803313;13586-INFO-SOC-GLASSDOOR-E649071_P1.html;2021-03-28 15:57:20;0;Groupe Creative; 8;www.groupe-creative.fr;Entre 201 et 500 employés; 2009; Services d'architecture et d'ingénierie; Entre 10 et 25 millions € (EUR) par an; Entreprise non cotée en bourse
307902481096200754668399145734823124491;13755-INFO-SOC-GLASSDOOR-E1762947_P1.html;2021-03-28 15:57:20;0;Open Minds Open Hearts Day Care; 2;www.openmindsopenheartsnola.com;De 1 à 50 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
90795030112700152094526376771309284967;13618-INFO-SOC-GLASSDOOR-E1136406_P1.html;2021-03-28 15:57:20;0;SOTRAVO Filiale SOLOCAL GROUP; 2;www.sotravo.fr;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
103035470686268303963945055313615479658;13772-INFO-SOC-GLASSDOOR-E3974_P1.html;2021-03-28 15:57:20;0;SKF; 497;www.skf.com;Plus de 10 000 employés; 1907; Fabrication industrielle; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (SKFRY) 
296726437710370464456051319493176338110;13673-INFO-SOC-GLASSDOOR-E1464013_P1.html;2021-03-28 15:57:20;0;Paris Inn Group; 14;www.paris-inn-group.com;De 501 à 1 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
333778578783840142447194874027054181525;13803-INFO-SOC-GLASSDOOR-E20114_P1.html;2021-03-28 15:57:20;0;Veolia; 1,1k;www.veolia.com;Plus de 10 000 employés; 1853; Services publics de distribution; Entre 2 et 5 milliards € (EUR) par an; Entreprise cotée en bourse (VIE) 
225761300882058334611431090109770474789;13654-INFO-SOC-GLASSDOOR-E899918_P1.html;2021-03-28 15:57:20;0;ITS Overlap; 2;www.itsoverlap.fr;Entre 201 et 500 employés; 2006; Production animale; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
151693419950964667189309530095192644936;13791-INFO-SOC-GLASSDOOR-E116383_P1.html;2021-03-28 15:57:20;0;GFI; 28;www.gfi.su;De 51 à 200 employés; Inconnu; Jeux vidéo; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
35700385257658235960957772032620042812;13709-INFO-SOC-GLASSDOOR-E1365869_P1.html;2021-03-28 15:57:20;0;Groupe Crédit Agricole du Maroc; 18;www.creditagricole.ma/pages/default.aspx;De 501 à 1 000 employés; Inconnu; Banques et organismes de crédit; Ne sait pas / non applicable; Entreprise cotée en bourse
